Agent,Max_Benefit_City,Max_Benefit,Min_Benefit_City,Min_Benefit,Avg_Benefit,Max_Payoff_City,Max_Payoff,Min_Payoff_City,Min_Payoff,Avg_Payoff
Agent1,1,2400,9,750,666.315789473684,1,2227.12,9,708.54,627.634973684211
Agent2,13,2250,13,600,746.842105263158,16,2103.322,14,565.682,700.240452631579
