Run_No,Pair_Index,Starting_City_Agent1,Starting_City_Agent2,Agent1_Path,Agent2_Path,Agent1_Benefit,Agent2_Benefit,Agent1_Cost,Agent2_Cost,Agent1_Payoff,Agent2_Payoff,Total_Benefit,Total_Payoff,Average_Payoff,Agent1_City_Count,Agent2_City_Count,Agent1_Timestamps,Agent2_Timestamps
3,1,1,5,"1, 2, 3, 4, 8,12,14,15,19,20","5, 6, 7, 9,10,11,13,16,17,18",1500,1500,105.318,74.4,1394.682,1425.6,3000,2820.282,1410.141,10,10,"0,97,150,217,271,295,318,366,415.2,447.59,526.59","0,34,51,93,160.1,219.7,257.9,307.1,333.9,360,372"
3,2,1,10,"1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,16,17,18","10,12,14,15,19,20",2100,900,131.36,48.758,1968.64,851.242,3000,2819.882,1409.941,14,6,"0,97,150,217,259,293,310,370,448,468.5,506.7,555.9,582.7,608.8,656.8","0,65,88,136,185.2,217.59,243.79"
3,3,1,15,"1, 4, 5, 9,11,13,16,17,18","15, 2, 3, 6, 7, 8,10,12,14,19,20",1350,1650,56.76,101.058,1293.24,1548.942,3000,2842.182,1421.091,9,11,"0,21,63,75,95.5,133.7,182.9,209.7,235.8,283.8","0,75,128,166,183,243,315.5,380.5,403.5,455.9,488.29,505.29"
3,4,1,20,"1, 4, 5, 9,10,11,13,16,17,18","20, 2, 3, 6, 7, 8,12,14,15,19",1500,1500,78,80.518,1422,1419.482,3000,2841.482,1420.741,10,10,"0,21,63,75,142.1,201.7,239.9,289.1,315.9,342,390","0,58,111,149,166,226,250,273,321,370.2,402.59"
3,5,5,1,"5, 6, 7,10,12,16,17,18","1, 2, 3, 4, 8, 9,11,13,14,15,19,20",1200,1800,46.06,137.058,1153.94,1662.942,3000,2816.882,1408.441,8,12,"0,34,51,78,143,165.4,192.2,218.3,230.3","0,97,150,217,271,349,369.5,407.7,476.7,524.7,573.9,606.29,685.29"
3,6,5,10,"5, 6, 7, 8,12,16,17,18","10, 1, 2, 3, 4, 9,11,13,14,15,19,20",1200,1800,44.46,127.898,1155.54,1672.102,3000,2827.642,1413.821,8,12,"0,34,51,111,135,157.4,184.2,210.3,222.3","0,85,182,235,302,356,376.5,414.7,483.7,531.7,580.9,613.29,639.49"
3,7,5,15,"5, 6, 7,10,12,16,17,18","15, 1, 2, 3, 4, 8, 9,11,13,14,19,20",1200,1800,46.06,131.498,1153.94,1668.502,3000,2822.442,1411.221,8,12,"0,34,51,78,143,165.4,192.2,218.3,230.3","0,79,176,229,296,350,428,448.5,486.7,555.7,608.1,640.49,657.49"
3,8,5,20,"5, 6, 7, 9,10,11,13,18","20, 1, 2, 3, 4, 8,12,14,15,16,17,19",1200,1800,58.66,128.018,1141.34,1671.982,3000,2813.322,1406.661,8,12,"0,34,51,93,160.1,219.7,257.9,281.3,293.3","0,79,176,229,296,350,374,397,445,519.8,546.6,607.7,640.09"
3,9,10,1,"10, 2, 3, 6, 7, 8,12,14,15,19,20","1, 4, 5, 9,11,13,16,17,18",1650,1350,80.558,56.76,1569.442,1293.24,3000,2862.682,1431.341,11,9,"0,32,85,123,140,200,224,247,295,344.2,376.59,402.79","0,21,63,75,95.5,133.7,182.9,209.7,235.8,283.8"
3,10,10,5,"10, 1, 2, 3, 4, 8,12,14,15,19,20","5, 6, 7, 9,11,13,16,17,18",1650,1350,111.758,53.16,1538.242,1296.84,3000,2835.082,1417.541,11,9,"0,85,182,235,302,356,380,403,451,500.2,532.59,558.79","0,34,51,93,113.5,151.7,200.9,227.7,253.8,265.8"
3,11,10,15,"10,12,16,17,18,19","15, 1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,14,20",900,2100,47.46,142.658,852.54,1957.342,3000,2809.882,1404.941,6,14,"0,65,87.4,114.2,140.3,227.3,237.3","0,79,176,229,296,338,372,389,449,527,547.5,585.7,654.7,696.29,713.29"
3,12,10,20,"10, 1, 4, 8,12,16,17,18","20, 2, 3, 5, 6, 7, 9,11,13,14,15,19",1200,1800,67.74,102.458,1132.26,1697.542,3000,2829.802,1414.901,8,12,"0,85,106,160,184,206.4,233.2,259.3,338.7","0,58,111,162,196,213,255,275.5,313.7,382.7,430.7,479.9,512.29"
3,13,15,1,"15, 2, 3, 6, 7, 8,12,14,19,20","1, 4, 5, 9,10,11,13,16,17,18",1500,1500,78.358,78,1421.642,1422,3000,2843.642,1421.821,10,10,"0,75,128,166,183,243,267,290,342.4,374.79,391.79","0,21,63,75,142.1,201.7,239.9,289.1,315.9,342,390"
3,14,15,5,"15, 1, 2, 3, 4, 8,12,14,19,20","5, 6, 7, 9,10,11,13,16,17,18",1500,1500,99.758,74.4,1400.242,1425.6,3000,2825.842,1412.921,10,10,"0,79,176,229,296,350,374,397,449.4,481.79,498.79","0,34,51,93,160.1,219.7,257.9,307.1,333.9,360,372"
3,15,15,10,"15, 1, 4, 5, 6, 7, 9,11,13,14,20","10, 2, 3, 8,12,16,17,18,19",1650,1350,84.258,64.66,1565.742,1285.34,3000,2851.082,1425.541,11,9,"0,79,100,142,176,193,235,255.5,293.7,362.7,404.29,421.29","0,32,85,127,151,173.4,200.2,226.3,313.3,323.3"
3,16,15,20,"15, 1, 4, 5, 6, 7,10,12,14,16","20, 2, 3, 8, 9,11,13,17,18,19",1500,1500,82.1,94.918,1417.9,1405.082,3000,2822.982,1411.491,10,10,"0,79,100,142,176,193,220,285,308,335.5,410.5","0,58,111,153,231,251.5,289.7,329.1,355.2,442.2,474.59"
3,17,20,1,"20, 2, 3, 8,12,14,15,19","1, 4, 5, 6, 7, 9,10,11,13,16,17,18",1200,1800,65.918,94.2,1134.082,1705.8,3000,2839.882,1419.941,8,12,"0,58,111,153,177,200,248,297.2,329.59","0,21,63,97,114,156,223.1,282.7,320.9,370.1,396.9,423,471"
3,18,20,5,"20, 1, 2, 3, 4, 8,10,12,14,15,19","5, 6, 7, 9,11,13,16,17,18",1650,1350,128.018,53.16,1521.982,1296.84,3000,2818.822,1409.411,11,9,"0,79,176,229,296,350,422.5,487.5,510.5,558.5,607.7,640.09","0,34,51,93,113.5,151.7,200.9,227.7,253.8,265.8"
3,19,20,10,"20, 1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,14,15","10,12,16,17,18,19",2100,900,143.946,47.46,1956.054,852.54,3000,2808.594,1404.297,14,6,"0,79,176,229,296,338,372,389,449,527,547.5,585.7,654.7,702.7,719.73","0,65,87.4,114.2,140.3,227.3,237.3"
