Run_No,Pair_Index,Starting_City_Agent1,Starting_City_Agent2,Agent1_Path,Agent2_Path,Agent1_Benefit,Agent2_Benefit,Agent1_Cost,Agent2_Cost,Agent1_Payoff,Agent2_Payoff,Total_Benefit,Total_Payoff,Average_Payoff,Agent1_City_Count,Agent2_City_Count,Agent1_Timestamps,Agent2_Timestamps
5,1,1,5,"1, 2, 3, 4, 6, 7, 8,10,12,14,15,19,20","5, 9,11,13,16,17,18",1950,1050,147.018,36.96,1802.982,1013.04,3000,2816.022,1408.011,13,7,"0,97,150,217,289,306,366,438.5,503.5,526.5,574.5,623.7,656.09,735.09","0,12,32.5,70.7,119.9,146.7,172.8,184.8"
5,2,1,10,"1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,14,16,17,18","10,12,15,19,20",2250,750,140.82,46.558,2109.18,703.442,3000,2812.622,1406.311,15,5,"0,97,150,217,259,293,310,370,448,468.5,506.7,575.7,603.2,630,656.1,704.1","0,65,125,174.2,206.59,232.79"
5,3,1,15,"1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,16,17,18","15,19,20",2550,450,182.34,19.718,2367.66,430.282,3000,2797.942,1398.971,17,3,"0,97,150,217,259,293,310,370,448,515.1,574.7,642.7,714.3,783.3,810.8,837.6,863.7,911.7","0,49.2,81.59,98.59"
5,4,1,20,"1, 4, 5, 6, 7,10,12,16,17,18","20, 2, 3, 8, 9,11,13,14,15,19",1500,1500,65.86,97.658,1434.14,1402.342,3000,2836.482,1418.241,10,10,"0,21,63,97,114,141,206,228.4,255.2,281.3,329.3","0,58,111,153,231,251.5,289.7,358.7,406.7,455.9,488.29"
5,5,5,1,"5, 6, 7, 9,10,11,13,16,17,18","1, 2, 3, 4, 8,12,14,15,19,20",1500,1500,74.4,105.318,1425.6,1394.682,3000,2820.282,1410.141,10,10,"0,34,51,93,160.1,219.7,257.9,307.1,333.9,360,372","0,97,150,217,271,295,318,366,415.2,447.59,526.59"
5,6,5,10,"5, 6, 7, 8,12,16,17,18","10, 1, 2, 3, 4, 9,11,13,14,15,19,20",1200,1800,44.46,127.898,1155.54,1672.102,3000,2827.642,1413.821,8,12,"0,34,51,111,135,157.4,184.2,210.3,222.3","0,85,182,235,302,356,376.5,414.7,483.7,531.7,580.9,613.29,639.49"
5,7,5,15,"5, 9,10,11,13,16,17,18","15, 1, 2, 3, 4, 6, 7, 8,12,14,19,20",1200,1800,58.2,118.758,1141.8,1681.242,3000,2823.042,1411.521,8,12,"0,12,79.1,138.7,176.9,226.1,252.9,279,291","0,79,176,229,296,368,385,445,469,492,544.4,576.79,593.79"
5,8,5,20,"5, 6, 7, 9,11,13,16,17,18","20, 1, 2, 3, 4, 8,10,12,14,15,19",1350,1650,53.16,128.018,1296.84,1521.982,3000,2818.822,1409.411,9,11,"0,34,51,93,113.5,151.7,200.9,227.7,253.8,265.8","0,79,176,229,296,350,422.5,487.5,510.5,558.5,607.7,640.09"
5,9,10,1,"10,12,14,15,19,20","1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,16,17,18",900,2100,48.758,131.36,851.242,1968.64,3000,2819.882,1409.941,6,14,"0,65,88,136,185.2,217.59,243.79","0,97,150,217,259,293,310,370,448,468.5,506.7,555.9,582.7,608.8,656.8"
5,10,10,5,"10,12,14,15,19,20","5, 1, 2, 3, 4, 6, 7, 8, 9,11,13,16,17,18",900,2100,48.758,133.16,851.242,1966.84,3000,2818.082,1409.041,6,14,"0,65,88,136,185.2,217.59,243.79","0,49,146,199,266,338,355,415,493,513.5,551.7,600.9,627.7,653.8,665.8"
