Run_No,Pair_Index,Starting_City_Agent1,Starting_City_Agent2,Agent1_Path,Agent2_Path,Agent1_Benefit,Agent2_Benefit,Agent1_Cost,Agent2_Cost,Agent1_Payoff,Agent2_Payoff,Total_Benefit,Total_Payoff,Average_Payoff,Agent1_City_Count,Agent2_City_Count,Agent1_Timestamps,Agent2_Timestamps
17,1,1,5,"1, 2, 3, 4, 8, 9,11,13,16,17,18","5, 6, 7,10,12,14,15,19,20",1650,1350,111.56,74.718,1538.44,1275.282,3000,2813.722,1406.861,11,9,"0,97,150,217,271,349,369.5,407.7,456.9,483.7,509.8,557.8","0,34,51,78,143,166,214,263.2,295.59,373.59"
17,2,1,10,"1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,16,17,18","10,12,14,15,19,20",2100,900,131.36,48.758,1968.64,851.242,3000,2819.882,1409.941,14,6,"0,97,150,217,259,293,310,370,448,468.5,506.7,555.9,582.7,608.8,656.8","0,65,88,136,185.2,217.59,243.79"
17,3,1,15,"1, 4, 5, 6, 7, 9,11,13,16,17,18","15, 2, 3, 8,10,12,14,19,20",1650,1350,72.96,86.458,1577.04,1263.542,3000,2840.582,1420.291,11,9,"0,21,63,97,114,156,176.5,214.7,263.9,290.7,316.8,364.8","0,75,128,170,242.5,307.5,330.5,382.9,415.29,432.29"
17,4,1,20,"1, 4, 5, 6, 7, 9,10,11,13,16,17,18","20, 2, 3, 8,12,14,15,19",1800,1200,94.2,65.918,1705.8,1134.082,3000,2839.882,1419.941,12,8,"0,21,63,97,114,156,223.1,282.7,320.9,370.1,396.9,423,471","0,58,111,153,177,200,248,297.2,329.59"
17,5,5,1,"5, 6, 7,10,12,16,17,18","1, 2, 3, 4, 8, 9,11,13,14,15,19,20",1200,1800,46.06,137.058,1153.94,1662.942,3000,2816.882,1408.441,8,12,"0,34,51,78,143,165.4,192.2,218.3,230.3","0,97,150,217,271,349,369.5,407.7,476.7,524.7,573.9,606.29,685.29"
17,6,5,10,"5, 9,11,13,16,17,18","10, 1, 2, 3, 4, 6, 7, 8,12,14,15,19,20",1050,1950,36.96,130.758,1013.04,1819.242,3000,2832.282,1416.141,7,13,"0,12,32.5,70.7,119.9,146.7,172.8,184.8","0,85,182,235,302,374,391,451,475,498,546,595.2,627.59,653.79"
17,7,5,15,"5, 6, 7, 9,11,13,16,17,18","15, 1, 2, 3, 4, 8,10,12,14,19,20",1350,1650,53.16,122.458,1296.84,1527.542,3000,2824.382,1412.191,9,11,"0,34,51,93,113.5,151.7,200.9,227.7,253.8,265.8","0,79,176,229,296,350,422.5,487.5,510.5,562.9,595.29,612.29"
17,8,5,20,"5, 6, 7, 9,10,11,13,16,17,18","20, 1, 2, 3, 4, 8,12,14,15,19",1500,1500,74.4,105.318,1425.6,1394.682,3000,2820.282,1410.141,10,10,"0,34,51,93,160.1,219.7,257.9,307.1,333.9,360,372","0,79,176,229,296,350,374,397,445,494.2,526.59"
17,9,10,1,"10,12,14,15,19,20","1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,16,17,18",900,2100,48.758,131.36,851.242,1968.64,3000,2819.882,1409.941,6,14,"0,65,88,136,185.2,217.59,243.79","0,97,150,217,259,293,310,370,448,468.5,506.7,555.9,582.7,608.8,656.8"
17,10,10,5,"10,12,14,15,19,20","5, 1, 2, 3, 4, 6, 7, 8, 9,11,13,16,17,18",900,2100,48.758,133.16,851.242,1966.84,3000,2818.082,1409.041,6,14,"0,65,88,136,185.2,217.59,243.79","0,49,146,199,266,338,355,415,493,513.5,551.7,600.9,627.7,653.8,665.8"
