Dataset_No,Pair_Index,Starting_City_Agent1,Starting_City_Agent2,Agent1_Path,Agent2_Path,Agent1_Benefit,Agent2_Benefit,Agent1_Cost,Agent2_Cost,Agent1_Payoff,Agent2_Payoff,Total_Benefit,Total_Payoff,Average_Payoff,Agent1_City_Count,Agent2_City_Count,Agent1_Timestamps,Agent2_Timestamps
1,17,1,18,"1, 4, 5, 9,10,11,13,14,15,20","18, 2, 3, 6, 7, 8,12,16,17,19",1500,1500,90.586,92.66,1409.414,1407.34,3000,2816.754,1408.377,10,10,"0,21,63,75,142.1,201.7,239.9,308.9,356.9,373.93,452.93","0,74,127,165,182,242,266,288.4,315.2,376.3,463.3"
1,18,1,19,"1, 4, 5, 6, 7, 9,10,11,13,16,17,18","19, 2, 3, 8,12,14,15,20",1800,1200,94.2,53.886,1705.8,1146.114,3000,2851.914,1425.957,12,8,"0,21,63,97,114,156,223.1,282.7,320.9,370.1,396.9,423,471","0,30,83,125,149,172,220,237.03,269.43"
1,19,1,20,"1, 4, 5, 9,10,11,13,16,17,18","20, 2, 3, 6, 7, 8,12,14,15,19",1500,1500,78,80.518,1422,1419.482,3000,2841.482,1420.741,10,10,"0,21,63,75,142.1,201.7,239.9,289.1,315.9,342,390","0,58,111,149,166,226,250,273,321,370.2,402.59"
1,20,5,1,"5, 6, 7, 9,10,11,13,16,17,18","1, 2, 3, 4, 8,12,14,15,19,20",1500,1500,74.4,105.318,1425.6,1394.682,3000,2820.282,1410.141,10,10,"0,34,51,93,160.1,219.7,257.9,307.1,333.9,360,372","0,97,150,217,271,295,318,366,415.2,447.59,526.59"
1,21,5,2,"5, 1, 4, 9,11,13,16,17,18","2, 3, 6, 7, 8,10,12,14,15,19,20",1350,1650,59.36,103.218,1290.64,1546.782,3000,2837.422,1418.711,9,11,"0,49,70,124,144.5,182.7,231.9,258.7,284.8,296.8","0,53,91,108,168,240.5,305.5,328.5,376.5,425.7,458.09,516.09"
1,22,5,3,"5, 1, 2, 6, 7, 9,10,11,13,18","3, 4, 8,12,14,15,16,17,19,20",1500,1500,86.86,87.818,1413.14,1412.182,3000,2825.322,1412.661,10,10,"0,49,146,175,192,234,301.1,360.7,398.9,422.3,434.3","0,67,121,145,168,216,290.8,317.6,378.7,411.09,439.09"
1,23,5,4,"5, 6, 7, 9,10,11,13,16,17,18","4, 1, 2, 3, 8,12,14,15,19,20",1500,1500,74.4,96.718,1425.6,1403.282,3000,2828.882,1414.441,10,10,"0,34,51,93,160.1,219.7,257.9,307.1,333.9,360,372","0,21,118,171,213,237,260,308,357.2,389.59,483.59"
1,24,5,6,"5, 9,10,11,13,16,17,18","6, 1, 2, 3, 4, 7, 8,12,14,15,19,20",1200,1800,58.2,130.118,1141.8,1669.882,3000,2811.682,1405.841,8,12,"0,12,79.1,138.7,176.9,226.1,252.9,279,291","0,70,167,220,287,357,417,441,464,512,561.2,593.59,650.59"
1,25,5,7,"5, 1, 2, 3, 4, 6, 9,10,11,13,16,17,18","7, 8,12,14,15,19,20",1950,1050,129.4,55.318,1820.6,994.682,3000,2815.282,1407.641,13,7,"0,49,146,199,266,338,368,435.1,494.7,532.9,582.1,608.9,635,647","0,60,84,107,155,204.2,236.59,276.59"
1,26,5,8,"5, 9,10,11,13,16,17,18","8, 1, 2, 3, 4, 6, 7,12,14,15,19,20",1200,1800,58.2,118.718,1141.8,1681.282,3000,2823.082,1411.541,8,12,"0,12,79.1,138.7,176.9,226.1,252.9,279,291","0,33,130,183,250,322,339,384,407,455,504.2,536.59,593.59"
1,27,5,9,"5, 6, 7, 8,12,16,17,18","9, 1, 2, 3, 4,10,11,13,14,15,19,20",1200,1800,44.46,150.058,1155.54,1649.942,3000,2805.482,1402.741,8,12,"0,34,51,111,135,157.4,184.2,210.3,222.3","0,61,158,211,278,372.9,432.5,470.7,539.7,587.7,636.9,669.29,750.29"
1,28,5,10,"5, 6, 7, 9,11,13,16,17,18","10, 1, 2, 3, 4, 8,12,14,15,19,20",1350,1650,53.16,111.758,1296.84,1538.242,3000,2835.082,1417.541,9,11,"0,34,51,93,113.5,151.7,200.9,227.7,253.8,265.8","0,85,182,235,302,356,380,403,451,500.2,532.59,558.79"
1,29,5,11,"5, 6, 7,10,12,16,17,18","11, 1, 2, 3, 4, 8, 9,13,14,15,19,20",1200,1800,46.06,146.018,1153.94,1653.982,3000,2807.922,1403.961,8,12,"0,34,51,78,143,165.4,192.2,218.3,230.3","0,78,175,228,295,349,427,452.1,521.1,569.1,618.3,650.69,730.09"
1,30,5,12,"5, 6, 7, 9,10,11,13,16,17,18","12, 1, 2, 3, 4, 8,14,15,19,20",1500,1500,74.4,103.718,1425.6,1396.282,3000,2821.882,1410.941,10,10,"0,34,51,93,160.1,219.7,257.9,307.1,333.9,360,372","0,21,118,171,238,292,330,378,427.2,459.59,518.59"
1,31,5,13,"5, 6, 7,10,12,16,17,18","13, 1, 2, 3, 4, 8, 9,11,14,15,19,20",1200,1800,46.06,146.018,1153.94,1653.982,3000,2807.922,1403.961,8,12,"0,34,51,78,143,165.4,192.2,218.3,230.3","0,71,168,221,288,342,420,440.5,494.5,542.5,591.7,624.09,730.09"
1,32,5,14,"5, 6, 7,10,12,16,17,18","14, 1, 2, 3, 4, 8, 9,11,13,15,19,20",1200,1800,46.06,138.258,1153.94,1661.742,3000,2815.682,1407.841,8,12,"0,34,51,78,143,165.4,192.2,218.3,230.3","0,43,140,193,260,314,392,412.5,450.7,567.7,616.9,649.29,691.29"
1,33,5,15,"5, 6, 7,10,12,16,17,18","15, 1, 2, 3, 4, 8, 9,11,13,14,19,20",1200,1800,46.06,131.498,1153.94,1668.502,3000,2822.442,1411.221,8,12,"0,34,51,78,143,165.4,192.2,218.3,230.3","0,79,176,229,296,350,428,448.5,486.7,555.7,608.1,640.49,657.49"
1,34,5,16,"5, 6, 7, 9,10,11,13,14,15,19,20","16, 1, 2, 3, 4, 8,12,17,18",1650,1350,106.898,83.84,1543.102,1266.16,3000,2809.262,1404.631,11,9,"0,34,51,93,160.1,219.7,257.9,326.9,374.9,424.1,456.49,534.49","0,28,125,178,245,299,323,367,393.1,419.2"
1,35,5,17,"5, 9,10,11,13,18","17, 1, 2, 3, 4, 6, 7, 8,12,14,15,16,19,20",900,2100,42.46,153.098,857.54,1946.902,3000,2804.442,1402.221,6,14,"0,12,79.1,138.7,176.9,200.3,212.3","0,55,152,205,272,344,361,421,445,468,516,590.8,666.5,698.89,765.49"
