Run_No,Pair_Index,Starting_City_Agent1,Starting_City_Agent2,Agent1_Path,Agent2_Path,Agent1_Benefit,Agent2_Benefit,Agent1_Cost,Agent2_Cost,Agent1_Payoff,Agent2_Payoff,Total_Benefit,Total_Payoff,Average_Payoff,Agent1_City_Count,Agent2_City_Count,Agent1_Timestamps,Agent2_Timestamps
1,1,1,5,"1, 2, 3, 4, 8,10,12,14,15,19,20","5, 6, 7, 9,11,13,16,17,18",1650,1350,128.018,53.16,1521.982,1296.84,3000,2818.822,1409.411,11,9,"0,97,150,217,271,343.5,408.5,431.5,479.5,528.7,561.09,640.09","0,34,51,93,113.5,151.7,200.9,227.7,253.8,265.8"
1,2,1,10,"1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,16,17,18","10,12,14,15,19,20",2100,900,131.36,48.758,1968.64,851.242,3000,2819.882,1409.941,14,6,"0,97,150,217,259,293,310,370,448,468.5,506.7,555.9,582.7,608.8,656.8","0,65,88,136,185.2,217.59,243.79"
1,3,1,15,"1, 4, 5, 6, 7,10,12,16,17,18","15, 2, 3, 8, 9,11,13,14,19,20",1500,1500,65.86,95.498,1434.14,1404.502,3000,2838.642,1419.321,10,10,"0,21,63,97,114,141,206,228.4,255.2,281.3,329.3","0,75,128,170,248,268.5,306.7,375.7,428.1,460.49,477.49"
1,4,1,20,"1, 4, 5, 9,10,11,13,18","20, 2, 3, 6, 7, 8,12,14,15,16,17,19",1200,1800,62.26,103.218,1137.74,1696.782,3000,2834.522,1417.261,8,12,"0,21,63,75,142.1,201.7,239.9,263.3,311.3","0,58,111,149,166,226,250,273,321,395.8,422.6,483.7,516.09"
1,5,5,1,"5, 6, 7, 9,10,11,13,16,17,18","1, 2, 3, 4, 8,12,14,15,19,20",1500,1500,74.4,105.318,1425.6,1394.682,3000,2820.282,1410.141,10,10,"0,34,51,93,160.1,219.7,257.9,307.1,333.9,360,372","0,97,150,217,271,295,318,366,415.2,447.59,526.59"
1,6,5,10,"5, 1, 2, 3, 4, 6, 7, 8, 9,11,13,16,17,18","10,12,14,15,19,20",2100,900,133.16,48.758,1966.84,851.242,3000,2818.082,1409.041,14,6,"0,49,146,199,266,338,355,415,493,513.5,551.7,600.9,627.7,653.8,665.8","0,65,88,136,185.2,217.59,243.79"
1,7,5,15,"5, 6, 7,10,12,16,17,18","15, 1, 2, 3, 4, 8, 9,11,13,14,19,20",1200,1800,46.06,131.498,1153.94,1668.502,3000,2822.442,1411.221,8,12,"0,34,51,78,143,165.4,192.2,218.3,230.3","0,79,176,229,296,350,428,448.5,486.7,555.7,608.1,640.49,657.49"
1,8,5,20,"5, 6, 7, 9,10,11,13,18","20, 1, 2, 3, 4, 8,12,14,15,16,17,19",1200,1800,58.66,128.018,1141.34,1671.982,3000,2813.322,1406.661,8,12,"0,34,51,93,160.1,219.7,257.9,281.3,293.3","0,79,176,229,296,350,374,397,445,519.8,546.6,607.7,640.09"
1,9,10,1,"10,12,14,15,19,20","1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,16,17,18",900,2100,48.758,131.36,851.242,1968.64,3000,2819.882,1409.941,6,14,"0,65,88,136,185.2,217.59,243.79","0,97,150,217,259,293,310,370,448,468.5,506.7,555.9,582.7,608.8,656.8"
1,10,10,5,"10, 1, 2, 3, 4, 8,11,12,14,15,19,20","5, 6, 7, 9,13,16,17,18",1800,1200,138.558,46.44,1661.442,1153.56,3000,2815.002,1407.501,12,8,"0,85,182,235,302,356,446,514,537,585,634.2,666.59,692.79","0,34,51,93,118.1,167.3,194.1,220.2,232.2"
1,11,10,15,"10,19,20","15, 1, 2, 3, 4, 5, 6, 7, 8, 9,11,12,13,14,16,17,18",450,2550,13.718,186.7,436.282,2363.3,3000,2799.582,1399.791,3,17,"0,10,42.39,68.59","0,79,176,229,296,338,372,389,449,527,547.5,615.5,687.1,756.1,783.6,810.4,836.5,933.5"
1,12,10,20,"10,12,16,17,18,19","20, 1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,14,15",900,2100,47.46,143.946,852.54,1956.054,3000,2808.594,1404.297,6,14,"0,65,87.4,114.2,140.3,227.3,237.3","0,79,176,229,296,338,372,389,449,527,547.5,585.7,654.7,702.7,719.73"
1,13,15,1,"15, 2, 3, 6, 7, 8,12,14,19,20","1, 4, 5, 9,10,11,13,16,17,18",1500,1500,78.358,78,1421.642,1422,3000,2843.642,1421.821,10,10,"0,75,128,166,183,243,267,290,342.4,374.79,391.79","0,21,63,75,142.1,201.7,239.9,289.1,315.9,342,390"
1,14,15,5,"15, 1, 2, 3, 4, 8,12,14,19,20","5, 6, 7, 9,10,11,13,16,17,18",1500,1500,99.758,74.4,1400.242,1425.6,3000,2825.842,1412.921,10,10,"0,79,176,229,296,350,374,397,449.4,481.79,498.79","0,34,51,93,160.1,219.7,257.9,307.1,333.9,360,372"
1,15,15,10,"15, 1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,14,20","10,12,16,17,18,19",2100,900,142.658,47.46,1957.342,852.54,3000,2809.882,1404.941,14,6,"0,79,176,229,296,338,372,389,449,527,547.5,585.7,654.7,696.29,713.29","0,65,87.4,114.2,140.3,227.3,237.3"
1,16,15,20,"15, 1, 4, 5, 6, 7,10,12,14,16","20, 2, 3, 8, 9,11,13,17,18,19",1500,1500,82.1,94.918,1417.9,1405.082,3000,2822.982,1411.491,10,10,"0,79,100,142,176,193,220,285,308,335.5,410.5","0,58,111,153,231,251.5,289.7,329.1,355.2,442.2,474.59"
1,17,20,1,"20, 2, 3, 6, 7, 8,12,14,15,19","1, 4, 5, 9,10,11,13,16,17,18",1500,1500,80.518,78,1419.482,1422,3000,2841.482,1420.741,10,10,"0,58,111,149,166,226,250,273,321,370.2,402.59","0,21,63,75,142.1,201.7,239.9,289.1,315.9,342,390"
1,18,20,5,"20, 1, 2, 3, 4, 8, 9,11,13,14,15,19","5, 6, 7,10,12,16,17,18",1800,1200,137.058,46.06,1662.942,1153.94,3000,2816.882,1408.441,12,8,"0,79,176,229,296,350,428,448.5,486.7,555.7,603.7,652.9,685.29","0,34,51,78,143,165.4,192.2,218.3,230.3"
1,19,20,10,"20, 1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,14,15","10,12,16,17,18,19",2100,900,143.946,47.46,1956.054,852.54,3000,2808.594,1404.297,14,6,"0,79,176,229,296,338,372,389,449,527,547.5,585.7,654.7,702.7,719.73","0,65,87.4,114.2,140.3,227.3,237.3"
1,20,20,15,"20, 2, 3, 8, 9,11,13,17,18,19","15, 1, 4, 5, 6, 7,10,12,14,16",1500,1500,94.918,82.1,1405.082,1417.9,3000,2822.982,1411.491,10,10,"0,58,111,153,231,251.5,289.7,329.1,355.2,442.2,474.59","0,79,100,142,176,193,220,285,308,335.5,410.5"
