Run_No,Pair_Index,Starting_City_Agent1,Starting_City_Agent2,Agent1_Path,Agent2_Path,Agent1_Benefit,Agent2_Benefit,Agent1_Cost,Agent2_Cost,Agent1_Payoff,Agent2_Payoff,Total_Benefit,Total_Payoff,Average_Payoff,Agent1_City_Count,Agent2_City_Count,Agent1_Timestamps,Agent2_Timestamps
9,1,1,5,"1, 2, 3, 4, 6, 7, 8,12,14,15,19,20","5, 9,10,11,13,16,17,18",1800,1200,124.318,58.2,1675.682,1141.8,3000,2817.482,1408.741,12,8,"0,97,150,217,289,306,366,390,413,461,510.2,542.59,621.59","0,12,79.1,138.7,176.9,226.1,252.9,279,291"
9,2,1,10,"1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,16,17,18","10,12,14,15,19,20",2100,900,131.36,48.758,1968.64,851.242,3000,2819.882,1409.941,14,6,"0,97,150,217,259,293,310,370,448,468.5,506.7,555.9,582.7,608.8,656.8","0,65,88,136,185.2,217.59,243.79"
9,3,1,15,"1, 4, 5, 9,10,11,13,16,17,18","15, 2, 3, 6, 7, 8,12,14,19,20",1500,1500,78,78.358,1422,1421.642,3000,2843.642,1421.821,10,10,"0,21,63,75,142.1,201.7,239.9,289.1,315.9,342,390","0,75,128,166,183,243,267,290,342.4,374.79,391.79"
9,4,1,20,"1, 4, 5, 6, 7, 9,10,11,13,16,17,18","20, 2, 3, 8,12,14,15,19",1800,1200,94.2,65.918,1705.8,1134.082,3000,2839.882,1419.941,12,8,"0,21,63,97,114,156,223.1,282.7,320.9,370.1,396.9,423,471","0,58,111,153,177,200,248,297.2,329.59"
9,5,5,1,"5, 6, 7, 9,11,13,16,17,18","1, 2, 3, 4, 8,10,12,14,15,19,20",1350,1650,53.16,128.018,1296.84,1521.982,3000,2818.822,1409.411,9,11,"0,34,51,93,113.5,151.7,200.9,227.7,253.8,265.8","0,97,150,217,271,343.5,408.5,431.5,479.5,528.7,561.09,640.09"
9,6,5,10,"5, 6, 7, 9,11,13,16,17,18","10, 1, 2, 3, 4, 8,12,14,15,19,20",1350,1650,53.16,111.758,1296.84,1538.242,3000,2835.082,1417.541,9,11,"0,34,51,93,113.5,151.7,200.9,227.7,253.8,265.8","0,85,182,235,302,356,380,403,451,500.2,532.59,558.79"
9,7,5,15,"5, 6, 7, 9,10,11,13,16,17,18","15, 1, 2, 3, 4, 8,12,14,19,20",1500,1500,74.4,99.758,1425.6,1400.242,3000,2825.842,1412.921,10,10,"0,34,51,93,160.1,219.7,257.9,307.1,333.9,360,372","0,79,176,229,296,350,374,397,449.4,481.79,498.79"
9,8,5,20,"5, 6, 7,10,12,16,17,18","20, 1, 2, 3, 4, 8, 9,11,13,14,15,19",1200,1800,46.06,137.058,1153.94,1662.942,3000,2816.882,1408.441,8,12,"0,34,51,78,143,165.4,192.2,218.3,230.3","0,79,176,229,296,350,428,448.5,486.7,555.7,603.7,652.9,685.29"
9,9,10,1,"10, 2, 3, 9,11,13,14,15,19,20","1, 4, 5, 6, 7, 8,12,16,17,18",1500,1500,85.098,64.26,1414.902,1435.74,3000,2850.642,1425.321,10,10,"0,32,85,142,162.5,200.7,269.7,317.7,366.9,399.29,425.49","0,21,63,97,114,174,198,220.4,247.2,273.3,321.3"
9,10,10,5,"10, 1, 2, 3, 4, 8,12,14,15,19,20","5, 6, 7, 9,11,13,16,17,18",1650,1350,111.758,53.16,1538.242,1296.84,3000,2835.082,1417.541,11,9,"0,85,182,235,302,356,380,403,451,500.2,532.59,558.79","0,34,51,93,113.5,151.7,200.9,227.7,253.8,265.8"
