Run_No,Pair_Index,Starting_City_Agent1,Starting_City_Agent2,Agent1_Path,Agent2_Path,Agent1_Benefit,Agent2_Benefit,Agent1_Cost,Agent2_Cost,Agent1_Payoff,Agent2_Payoff,Total_Benefit,Total_Payoff,Average_Payoff,Agent1_City_Count,Agent2_City_Count,Agent1_Timestamps,Agent2_Timestamps
15,1,1,5,"1, 2, 3, 4, 6, 7, 8,10,12,14,15,19,20","5, 9,11,13,16,17,18",1950,1050,147.018,36.96,1802.982,1013.04,3000,2816.022,1408.011,13,7,"0,97,150,217,289,306,366,438.5,503.5,526.5,574.5,623.7,656.09,735.09","0,12,32.5,70.7,119.9,146.7,172.8,184.8"
15,2,1,10,"1, 4, 5, 9,11,13,16,17,18","10, 2, 3, 6, 7, 8,12,14,15,19,20",1350,1650,56.76,80.558,1293.24,1569.442,3000,2862.682,1431.341,9,11,"0,21,63,75,95.5,133.7,182.9,209.7,235.8,283.8","0,32,85,123,140,200,224,247,295,344.2,376.59,402.79"
15,3,1,15,"1, 4, 5, 6, 7,10,12,16,17,18","15, 2, 3, 8, 9,11,13,14,19,20",1500,1500,65.86,95.498,1434.14,1404.502,3000,2838.642,1419.321,10,10,"0,21,63,97,114,141,206,228.4,255.2,281.3,329.3","0,75,128,170,248,268.5,306.7,375.7,428.1,460.49,477.49"
15,4,1,20,"1, 4, 5, 6, 7, 9,10,11,13,16,17,18","20, 2, 3, 8,12,14,15,19",1800,1200,94.2,65.918,1705.8,1134.082,3000,2839.882,1419.941,12,8,"0,21,63,97,114,156,223.1,282.7,320.9,370.1,396.9,423,471","0,58,111,153,177,200,248,297.2,329.59"
15,5,5,1,"5, 6, 7, 9,10,11,13,16,17,18","1, 2, 3, 4, 8,12,14,15,19,20",1500,1500,74.4,105.318,1425.6,1394.682,3000,2820.282,1410.141,10,10,"0,34,51,93,160.1,219.7,257.9,307.1,333.9,360,372","0,97,150,217,271,295,318,366,415.2,447.59,526.59"
15,6,5,10,"5, 6, 7, 8,12,16,17,18","10, 1, 2, 3, 4, 9,11,13,14,15,19,20",1200,1800,44.46,127.898,1155.54,1672.102,3000,2827.642,1413.821,8,12,"0,34,51,111,135,157.4,184.2,210.3,222.3","0,85,182,235,302,356,376.5,414.7,483.7,531.7,580.9,613.29,639.49"
15,7,5,15,"5, 6, 7, 9,10,11,13,16,17,18","15, 1, 2, 3, 4, 8,12,14,19,20",1500,1500,74.4,99.758,1425.6,1400.242,3000,2825.842,1412.921,10,10,"0,34,51,93,160.1,219.7,257.9,307.1,333.9,360,372","0,79,176,229,296,350,374,397,449.4,481.79,498.79"
15,8,5,20,"5, 6, 7, 9,10,11,13,16,17,18","20, 1, 2, 3, 4, 8,12,14,15,19",1500,1500,74.4,105.318,1425.6,1394.682,3000,2820.282,1410.141,10,10,"0,34,51,93,160.1,219.7,257.9,307.1,333.9,360,372","0,79,176,229,296,350,374,397,445,494.2,526.59"
15,9,10,1,"10,12,14,15,19,20","1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,16,17,18",900,2100,48.758,131.36,851.242,1968.64,3000,2819.882,1409.941,6,14,"0,65,88,136,185.2,217.59,243.79","0,97,150,217,259,293,310,370,448,468.5,506.7,555.9,582.7,608.8,656.8"
15,10,10,5,"10, 1, 2, 3, 4, 8,12,14,15,19,20","5, 6, 7, 9,11,13,16,17,18",1650,1350,111.758,53.16,1538.242,1296.84,3000,2835.082,1417.541,11,9,"0,85,182,235,302,356,380,403,451,500.2,532.59,558.79","0,34,51,93,113.5,151.7,200.9,227.7,253.8,265.8"
15,11,10,15,"10,12,16,17,18,19","15, 1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,14,20",900,2100,47.46,142.658,852.54,1957.342,3000,2809.882,1404.941,6,14,"0,65,87.4,114.2,140.3,227.3,237.3","0,79,176,229,296,338,372,389,449,527,547.5,585.7,654.7,696.29,713.29"
15,12,10,20,"10,12,14,15,19","20, 1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,16,17,18",750,2250,39.04,155.314,710.96,2094.686,3000,2805.646,1402.823,5,15,"0,65,88,136,185.2,195.2","0,79,176,229,296,338,372,389,449,527,547.5,585.7,634.9,661.7,687.8,776.57"
15,13,15,1,"15, 2, 3, 6, 7, 8,10,12,14,19,20","1, 4, 5, 9,11,13,16,17,18",1650,1350,101.058,56.76,1548.942,1293.24,3000,2842.182,1421.091,11,9,"0,75,128,166,183,243,315.5,380.5,403.5,455.9,488.29,505.29","0,21,63,75,95.5,133.7,182.9,209.7,235.8,283.8"
