Run_No,Pair_Index,Starting_City_Agent1,Starting_City_Agent2,Agent1_Path,Agent2_Path,Agent1_Benefit,Agent2_Benefit,Agent1_Cost,Agent2_Cost,Agent1_Payoff,Agent2_Payoff,Total_Benefit,Total_Payoff,Average_Payoff,Agent1_City_Count,Agent2_City_Count,Agent1_Timestamps,Agent2_Timestamps
4,1,1,5,"1, 2, 3, 4, 8,12,16,17,18","5, 6, 7, 9,10,11,13,14,15,19,20",1350,1650,83.66,106.898,1266.34,1543.102,3000,2809.442,1404.721,9,11,"0,97,150,217,271,295,317.4,344.2,370.3,418.3","0,34,51,93,160.1,219.7,257.9,326.9,374.9,424.1,456.49,534.49"
4,2,1,10,"1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,16,17,18","10,12,14,15,19,20",2100,900,131.36,48.758,1968.64,851.242,3000,2819.882,1409.941,14,6,"0,97,150,217,259,293,310,370,448,468.5,506.7,555.9,582.7,608.8,656.8","0,65,88,136,185.2,217.59,243.79"
4,3,1,15,"1, 4, 5, 9,10,11,13,16,17,18","15, 2, 3, 6, 7, 8,12,14,19,20",1500,1500,78,78.358,1422,1421.642,3000,2843.642,1421.821,10,10,"0,21,63,75,142.1,201.7,239.9,289.1,315.9,342,390","0,75,128,166,183,243,267,290,342.4,374.79,391.79"
4,4,1,20,"1, 4, 5, 9,10,11,13,16,17,18","20, 2, 3, 6, 7, 8,12,14,15,19",1500,1500,78,80.518,1422,1419.482,3000,2841.482,1420.741,10,10,"0,21,63,75,142.1,201.7,239.9,289.1,315.9,342,390","0,58,111,149,166,226,250,273,321,370.2,402.59"
4,5,5,1,"5, 6, 7,10,12,14,15,19,20","1, 2, 3, 4, 8, 9,11,13,16,17,18",1350,1650,74.718,111.56,1275.282,1538.44,3000,2813.722,1406.861,9,11,"0,34,51,78,143,166,214,263.2,295.59,373.59","0,97,150,217,271,349,369.5,407.7,456.9,483.7,509.8,557.8"
4,6,5,10,"5, 9,11,13,16,17,18","10, 1, 2, 3, 4, 6, 7, 8,12,14,15,19,20",1050,1950,36.96,130.758,1013.04,1819.242,3000,2832.282,1416.141,7,13,"0,12,32.5,70.7,119.9,146.7,172.8,184.8","0,85,182,235,302,374,391,451,475,498,546,595.2,627.59,653.79"
4,7,5,15,"5, 6, 7, 9,11,13,16,17,18","15, 1, 2, 3, 4, 8,10,12,14,19,20",1350,1650,53.16,122.458,1296.84,1527.542,3000,2824.382,1412.191,9,11,"0,34,51,93,113.5,151.7,200.9,227.7,253.8,265.8","0,79,176,229,296,350,422.5,487.5,510.5,562.9,595.29,612.29"
4,8,5,20,"5, 6, 7, 9,10,11,13,16,17,18","20, 1, 2, 3, 4, 8,12,14,15,19",1500,1500,74.4,105.318,1425.6,1394.682,3000,2820.282,1410.141,10,10,"0,34,51,93,160.1,219.7,257.9,307.1,333.9,360,372","0,79,176,229,296,350,374,397,445,494.2,526.59"
4,9,10,1,"10,12,14,15,19,20","1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,16,17,18",900,2100,48.758,131.36,851.242,1968.64,3000,2819.882,1409.941,6,14,"0,65,88,136,185.2,217.59,243.79","0,97,150,217,259,293,310,370,448,468.5,506.7,555.9,582.7,608.8,656.8"
4,10,10,5,"10, 1, 2, 3, 4, 9,11,13,14,15,19,20","5, 6, 7, 8,12,16,17,18",1800,1200,127.898,44.46,1672.102,1155.54,3000,2827.642,1413.821,12,8,"0,85,182,235,302,356,376.5,414.7,483.7,531.7,580.9,613.29,639.49","0,34,51,111,135,157.4,184.2,210.3,222.3"
4,11,10,15,"10,12,16,17,18,19","15, 1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,14,20",900,2100,47.46,142.658,852.54,1957.342,3000,2809.882,1404.941,6,14,"0,65,87.4,114.2,140.3,227.3,237.3","0,79,176,229,296,338,372,389,449,527,547.5,585.7,654.7,696.29,713.29"
4,12,10,20,"10, 1, 4, 5, 9,11,13,18","20, 2, 3, 6, 7, 8,12,14,15,16,17,19",1200,1800,64.3,103.218,1135.7,1696.782,3000,2832.482,1416.241,8,12,"0,85,106,148,160,180.5,218.7,242.1,321.5","0,58,111,149,166,226,250,273,321,395.8,422.6,483.7,516.09"
4,13,15,1,"15, 2, 3, 6, 7, 8,12,14,19,20","1, 4, 5, 9,10,11,13,16,17,18",1500,1500,78.358,78,1421.642,1422,3000,2843.642,1421.821,10,10,"0,75,128,166,183,243,267,290,342.4,374.79,391.79","0,21,63,75,142.1,201.7,239.9,289.1,315.9,342,390"
4,14,15,5,"15, 1, 2, 3, 4, 8,12,14,19,20","5, 6, 7, 9,10,11,13,16,17,18",1500,1500,99.758,74.4,1400.242,1425.6,3000,2825.842,1412.921,10,10,"0,79,176,229,296,350,374,397,449.4,481.79,498.79","0,34,51,93,160.1,219.7,257.9,307.1,333.9,360,372"
4,15,15,10,"15, 1, 2, 3, 4, 5, 6, 7, 8, 9,12,14,20","10,11,13,16,17,18,19",1950,1050,132.718,59.38,1817.282,990.62,3000,2807.902,1403.951,13,7,"0,79,176,229,296,338,372,389,449,527,582,605,646.59,663.59","0,59.6,97.8,147,173.8,199.9,286.9,296.9"
