Run_No,Pair_Index,Starting_City_Agent1,Starting_City_Agent2,Agent1_Path,Agent2_Path,Agent1_Benefit,Agent2_Benefit,Agent1_Cost,Agent2_Cost,Agent1_Payoff,Agent2_Payoff,Total_Benefit,Total_Payoff,Average_Payoff,Agent1_City_Count,Agent2_City_Count,Agent1_Timestamps,Agent2_Timestamps
7,1,1,5,"1, 2, 3, 4, 8,12,14,15,19,20","5, 6, 7, 9,10,11,13,16,17,18",1500,1500,105.318,74.4,1394.682,1425.6,3000,2820.282,1410.141,10,10,"0,97,150,217,271,295,318,366,415.2,447.59,526.59","0,34,51,93,160.1,219.7,257.9,307.1,333.9,360,372"
7,2,1,10,"1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,16,17,18","10,12,14,15,19,20",2100,900,131.36,48.758,1968.64,851.242,3000,2819.882,1409.941,14,6,"0,97,150,217,259,293,310,370,448,468.5,506.7,555.9,582.7,608.8,656.8","0,65,88,136,185.2,217.59,243.79"
7,3,1,15,"1, 4, 5, 9,10,11,13,16,17,18","15, 2, 3, 6, 7, 8,12,14,19,20",1500,1500,78,78.358,1422,1421.642,3000,2843.642,1421.821,10,10,"0,21,63,75,142.1,201.7,239.9,289.1,315.9,342,390","0,75,128,166,183,243,267,290,342.4,374.79,391.79"
7,4,1,20,"1, 4, 5, 6, 7,10,12,16,17,18","20, 2, 3, 8, 9,11,13,14,15,19",1500,1500,65.86,97.658,1434.14,1402.342,3000,2836.482,1418.241,10,10,"0,21,63,97,114,141,206,228.4,255.2,281.3,329.3","0,58,111,153,231,251.5,289.7,358.7,406.7,455.9,488.29"
7,5,5,1,"5, 6, 7, 9,10,11,13,16,17,18","1, 2, 3, 4, 8,12,14,15,19,20",1500,1500,74.4,105.318,1425.6,1394.682,3000,2820.282,1410.141,10,10,"0,34,51,93,160.1,219.7,257.9,307.1,333.9,360,372","0,97,150,217,271,295,318,366,415.2,447.59,526.59"
7,6,5,10,"5, 6, 7, 9,11,13,16,17,18","10, 1, 2, 3, 4, 8,12,14,15,19,20",1350,1650,53.16,111.758,1296.84,1538.242,3000,2835.082,1417.541,9,11,"0,34,51,93,113.5,151.7,200.9,227.7,253.8,265.8","0,85,182,235,302,356,380,403,451,500.2,532.59,558.79"
7,7,5,15,"5, 6, 7, 9,10,11,13,16,17,18","15, 1, 2, 3, 4, 8,12,14,19,20",1500,1500,74.4,99.758,1425.6,1400.242,3000,2825.842,1412.921,10,10,"0,34,51,93,160.1,219.7,257.9,307.1,333.9,360,372","0,79,176,229,296,350,374,397,449.4,481.79,498.79"
7,8,5,20,"5, 6, 7,10,12,16,17,18","20, 1, 2, 3, 4, 8, 9,11,13,14,15,19",1200,1800,46.06,137.058,1153.94,1662.942,3000,2816.882,1408.441,8,12,"0,34,51,78,143,165.4,192.2,218.3,230.3","0,79,176,229,296,350,428,448.5,486.7,555.7,603.7,652.9,685.29"
7,9,10,1,"10,12,14,15,19,20","1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,16,17,18",900,2100,48.758,131.36,851.242,1968.64,3000,2819.882,1409.941,6,14,"0,65,88,136,185.2,217.59,243.79","0,97,150,217,259,293,310,370,448,468.5,506.7,555.9,582.7,608.8,656.8"
7,10,10,5,"10,12,14,15,19,20","5, 1, 2, 3, 4, 6, 7, 8, 9,11,13,16,17,18",900,2100,48.758,133.16,851.242,1966.84,3000,2818.082,1409.041,6,14,"0,65,88,136,185.2,217.59,243.79","0,49,146,199,266,338,355,415,493,513.5,551.7,600.9,627.7,653.8,665.8"
7,11,10,15,"10,19,20","15, 1, 2, 3, 4, 5, 6, 7, 8, 9,11,12,13,14,16,17,18",450,2550,13.718,186.7,436.282,2363.3,3000,2799.582,1399.791,3,17,"0,10,42.39,68.59","0,79,176,229,296,338,372,389,449,527,547.5,615.5,687.1,756.1,783.6,810.4,836.5,933.5"
7,12,10,20,"10,12,16,17,18,19","20, 1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,14,15",900,2100,47.46,143.946,852.54,1956.054,3000,2808.594,1404.297,6,14,"0,65,87.4,114.2,140.3,227.3,237.3","0,79,176,229,296,338,372,389,449,527,547.5,585.7,654.7,702.7,719.73"
7,13,15,1,"15, 2, 3, 6, 7, 8,12,14,19,20","1, 4, 5, 9,10,11,13,16,17,18",1500,1500,78.358,78,1421.642,1422,3000,2843.642,1421.821,10,10,"0,75,128,166,183,243,267,290,342.4,374.79,391.79","0,21,63,75,142.1,201.7,239.9,289.1,315.9,342,390"
7,14,15,5,"15, 1, 2, 3, 4, 8,12,14,19,20","5, 6, 7, 9,10,11,13,16,17,18",1500,1500,99.758,74.4,1400.242,1425.6,3000,2825.842,1412.921,10,10,"0,79,176,229,296,350,374,397,449.4,481.79,498.79","0,34,51,93,160.1,219.7,257.9,307.1,333.9,360,372"
7,15,15,10,"15,19,20","10, 1, 2, 3, 4, 5, 6, 7, 8, 9,11,12,13,14,16,17,18",450,2550,19.718,184.38,430.282,2365.62,3000,2795.902,1397.951,3,17,"0,49.2,81.59,98.59","0,85,182,235,302,344,378,395,455,533,553.5,621.5,693.1,762.1,789.6,816.4,842.5,921.9"
7,16,15,20,"15, 2, 3, 6, 7, 8,12,14,16,17","20, 1, 4, 5, 9,10,11,13,18,19",1500,1500,84.46,92.338,1415.54,1407.662,3000,2823.202,1411.601,10,10,"0,75,128,166,183,243,267,290,317.5,344.3,422.3","0,79,100,142,154,221.1,280.7,318.9,342.3,429.3,461.69"
7,17,20,1,"20, 2, 3, 8, 9,11,13,14,15,19","1, 4, 5, 6, 7,10,12,16,17,18",1500,1500,97.658,65.86,1402.342,1434.14,3000,2836.482,1418.241,10,10,"0,58,111,153,231,251.5,289.7,358.7,406.7,455.9,488.29","0,21,63,97,114,141,206,228.4,255.2,281.3,329.3"
7,18,20,5,"20, 1, 2, 3, 4, 8, 9,11,13,14,15,19","5, 6, 7,10,12,16,17,18",1800,1200,137.058,46.06,1662.942,1153.94,3000,2816.882,1408.441,12,8,"0,79,176,229,296,350,428,448.5,486.7,555.7,603.7,652.9,685.29","0,34,51,78,143,165.4,192.2,218.3,230.3"
