Run_No,Pair_Index,Starting_City_Agent1,Starting_City_Agent2,Agent1_Path,Agent2_Path,Agent1_Benefit,Agent2_Benefit,Agent1_Cost,Agent2_Cost,Agent1_Payoff,Agent2_Payoff,Total_Benefit,Total_Payoff,Average_Payoff,Agent1_City_Count,Agent2_City_Count,Agent1_Timestamps,Agent2_Timestamps
16,1,1,5,"1, 2, 3, 4, 8,12,14,15,19,20","5, 6, 7, 9,10,11,13,16,17,18",1500,1500,105.318,74.4,1394.682,1425.6,3000,2820.282,1410.141,10,10,"0,97,150,217,271,295,318,366,415.2,447.59,526.59","0,34,51,93,160.1,219.7,257.9,307.1,333.9,360,372"
16,2,1,10,"1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,16,17,18","10,12,14,15,19,20",2100,900,131.36,48.758,1968.64,851.242,3000,2819.882,1409.941,14,6,"0,97,150,217,259,293,310,370,448,468.5,506.7,555.9,582.7,608.8,656.8","0,65,88,136,185.2,217.59,243.79"
16,3,1,15,"1, 4, 5, 9,10,11,13,16,17,18","15, 2, 3, 6, 7, 8,12,14,19,20",1500,1500,78,78.358,1422,1421.642,3000,2843.642,1421.821,10,10,"0,21,63,75,142.1,201.7,239.9,289.1,315.9,342,390","0,75,128,166,183,243,267,290,342.4,374.79,391.79"
16,4,1,20,"1, 4, 5, 9,11,13,16,17,18","20, 2, 3, 6, 7, 8,10,12,14,15,19",1350,1650,56.76,103.218,1293.24,1546.782,3000,2840.022,1420.011,9,11,"0,21,63,75,95.5,133.7,182.9,209.7,235.8,283.8","0,58,111,149,166,226,298.5,363.5,386.5,434.5,483.7,516.09"
16,5,5,1,"5, 6, 7, 9,10,11,13,14,15,19,20","1, 2, 3, 4, 8,12,16,17,18",1650,1350,106.898,83.66,1543.102,1266.34,3000,2809.442,1404.721,11,9,"0,34,51,93,160.1,219.7,257.9,326.9,374.9,424.1,456.49,534.49","0,97,150,217,271,295,317.4,344.2,370.3,418.3"
16,6,5,10,"5, 6, 7, 8,12,16,17,18","10, 1, 2, 3, 4, 9,11,13,14,15,19,20",1200,1800,44.46,127.898,1155.54,1672.102,3000,2827.642,1413.821,8,12,"0,34,51,111,135,157.4,184.2,210.3,222.3","0,85,182,235,302,356,376.5,414.7,483.7,531.7,580.9,613.29,639.49"
16,7,5,15,"5, 6, 7, 9,10,11,13,16,17,18","15, 1, 2, 3, 4, 8,12,14,19,20",1500,1500,74.4,99.758,1425.6,1400.242,3000,2825.842,1412.921,10,10,"0,34,51,93,160.1,219.7,257.9,307.1,333.9,360,372","0,79,176,229,296,350,374,397,449.4,481.79,498.79"
16,8,5,20,"5, 6, 7, 9,10,11,13,16,17,18","20, 1, 2, 3, 4, 8,12,14,15,19",1500,1500,74.4,105.318,1425.6,1394.682,3000,2820.282,1410.141,10,10,"0,34,51,93,160.1,219.7,257.9,307.1,333.9,360,372","0,79,176,229,296,350,374,397,445,494.2,526.59"
16,9,10,1,"10,12,14,15,19,20","1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,16,17,18",900,2100,48.758,131.36,851.242,1968.64,3000,2819.882,1409.941,6,14,"0,65,88,136,185.2,217.59,243.79","0,97,150,217,259,293,310,370,448,468.5,506.7,555.9,582.7,608.8,656.8"
16,10,10,5,"10, 1, 2, 3, 4, 6, 7, 8,12,16,17,18","5, 9,11,13,14,15,19,20",1800,1200,125.94,69.458,1674.06,1130.542,3000,2804.602,1402.301,12,8,"0,85,182,235,302,374,391,451,475,497.4,524.2,550.3,629.7","0,12,32.5,70.7,139.7,187.7,236.9,269.29,347.29"
