Run_No,Pair_Index,Starting_City_Agent1,Starting_City_Agent2,Agent1_Path,Agent2_Path,Agent1_Benefit,Agent2_Benefit,Agent1_Cost,Agent2_Cost,Agent1_Payoff,Agent2_Payoff,Total_Benefit,Total_Payoff,Average_Payoff,Agent1_City_Count,Agent2_City_Count,Agent1_Timestamps,Agent2_Timestamps
13,1,1,5,"1, 2, 3, 4, 8, 9,11,13,14,15,19,20","5, 6, 7,10,12,16,17,18",1800,1200,137.058,46.06,1662.942,1153.94,3000,2816.882,1408.441,12,8,"0,97,150,217,271,349,369.5,407.7,476.7,524.7,573.9,606.29,685.29","0,34,51,78,143,165.4,192.2,218.3,230.3"
13,2,1,10,"1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,16,17,18","10,12,14,15,19,20",2100,900,131.36,48.758,1968.64,851.242,3000,2819.882,1409.941,14,6,"0,97,150,217,259,293,310,370,448,468.5,506.7,555.9,582.7,608.8,656.8","0,65,88,136,185.2,217.59,243.79"
13,3,1,15,"1, 4, 5, 9,10,11,13,18","15, 2, 3, 6, 7, 8,12,14,16,17,19,20",1200,1800,62.26,90.958,1137.74,1709.042,3000,2846.782,1423.391,8,12,"0,21,63,75,142.1,201.7,239.9,263.3,311.3","0,75,128,166,183,243,267,290,317.5,344.3,405.4,437.79,454.79"
13,4,1,20,"1, 4, 5, 9,10,11,13,16,17,18","20, 2, 3, 6, 7, 8,12,14,15,19",1500,1500,78,80.518,1422,1419.482,3000,2841.482,1420.741,10,10,"0,21,63,75,142.1,201.7,239.9,289.1,315.9,342,390","0,58,111,149,166,226,250,273,321,370.2,402.59"
13,5,5,1,"5, 6, 7,10,12,14,15,19,20","1, 2, 3, 4, 8, 9,11,13,16,17,18",1350,1650,74.718,111.56,1275.282,1538.44,3000,2813.722,1406.861,9,11,"0,34,51,78,143,166,214,263.2,295.59,373.59","0,97,150,217,271,349,369.5,407.7,456.9,483.7,509.8,557.8"
13,6,5,10,"5, 6, 7, 9,11,13,16,17,18","10, 1, 2, 3, 4, 8,12,14,15,19,20",1350,1650,53.16,111.758,1296.84,1538.242,3000,2835.082,1417.541,9,11,"0,34,51,93,113.5,151.7,200.9,227.7,253.8,265.8","0,85,182,235,302,356,380,403,451,500.2,532.59,558.79"
13,7,5,15,"5, 9,10,11,13,16,17,18","15, 1, 2, 3, 4, 6, 7, 8,12,14,19,20",1200,1800,58.2,118.758,1141.8,1681.242,3000,2823.042,1411.521,8,12,"0,12,79.1,138.7,176.9,226.1,252.9,279,291","0,79,176,229,296,368,385,445,469,492,544.4,576.79,593.79"
13,8,5,20,"5, 9,11,13,18","20, 1, 2, 3, 4, 6, 7, 8,10,12,14,15,16,17,19",750,2250,21.22,169.718,728.78,2080.282,3000,2809.062,1404.531,5,15,"0,12,32.5,70.7,94.1,106.1","0,79,176,229,296,368,385,445,517.5,582.5,605.5,653.5,728.3,755.1,816.2,848.59"
13,9,10,1,"10,12,14,15,19,20","1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,16,17,18",900,2100,48.758,131.36,851.242,1968.64,3000,2819.882,1409.941,6,14,"0,65,88,136,185.2,217.59,243.79","0,97,150,217,259,293,310,370,448,468.5,506.7,555.9,582.7,608.8,656.8"
13,10,10,5,"10, 1, 2, 3, 4, 9,11,13,16,17,18","5, 6, 7, 8,12,14,15,19,20",1650,1350,119.24,73.118,1530.76,1276.882,3000,2807.642,1403.821,11,9,"0,85,182,235,302,356,376.5,414.7,463.9,490.7,516.8,596.2","0,34,51,111,135,158,206,255.2,287.59,365.59"
