Run_No,Pair_Index,Starting_City_Agent1,Starting_City_Agent2,Agent1_Path,Agent2_Path,Agent1_Benefit,Agent2_Benefit,Agent1_Cost,Agent2_Cost,Agent1_Payoff,Agent2_Payoff,Total_Benefit,Total_Payoff,Average_Payoff,Agent1_City_Count,Agent2_City_Count,Agent1_Timestamps,Agent2_Timestamps
20,1,1,5,"1, 2, 3, 4, 8,12,14,15,19,20","5, 6, 7, 9,10,11,13,16,17,18",1500,1500,105.318,74.4,1394.682,1425.6,3000,2820.282,1410.141,10,10,"0,97,150,217,271,295,318,366,415.2,447.59,526.59","0,34,51,93,160.1,219.7,257.9,307.1,333.9,360,372"
20,2,1,10,"1, 4, 5, 6, 8,12,14,15,20","10, 2, 3, 7, 9,11,13,16,17,18,19",1350,1650,72.406,81.16,1277.594,1568.84,3000,2846.434,1423.217,9,11,"0,21,63,97,171,195,218,266,283.03,362.03","0,32,85,106,148,168.5,206.7,255.9,282.7,308.8,395.8,405.8"
20,3,1,15,"1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,16,17,18","15,19,20",2550,450,182.34,19.718,2367.66,430.282,3000,2797.942,1398.971,17,3,"0,97,150,217,259,293,310,370,448,515.1,574.7,642.7,714.3,783.3,810.8,837.6,863.7,911.7","0,49.2,81.59,98.59"
20,4,1,20,"1, 4, 5, 9,10,11,13,16,17,18","20, 2, 3, 6, 7, 8,12,14,15,19",1500,1500,78,80.518,1422,1419.482,3000,2841.482,1420.741,10,10,"0,21,63,75,142.1,201.7,239.9,289.1,315.9,342,390","0,58,111,149,166,226,250,273,321,370.2,402.59"
20,5,5,1,"5, 6, 7,10,12,14,15,19,20","1, 2, 3, 4, 8, 9,11,13,16,17,18",1350,1650,74.718,111.56,1275.282,1538.44,3000,2813.722,1406.861,9,11,"0,34,51,78,143,166,214,263.2,295.59,373.59","0,97,150,217,271,349,369.5,407.7,456.9,483.7,509.8,557.8"
20,6,5,10,"5, 6, 7, 9,11,13,16,17,18","10, 1, 2, 3, 4, 8,12,14,15,19,20",1350,1650,53.16,111.758,1296.84,1538.242,3000,2835.082,1417.541,9,11,"0,34,51,93,113.5,151.7,200.9,227.7,253.8,265.8","0,85,182,235,302,356,380,403,451,500.2,532.59,558.79"
20,7,5,15,"5, 6, 7, 9,11,13,16,17,18","15, 1, 2, 3, 4, 8,10,12,14,19,20",1350,1650,53.16,122.458,1296.84,1527.542,3000,2824.382,1412.191,9,11,"0,34,51,93,113.5,151.7,200.9,227.7,253.8,265.8","0,79,176,229,296,350,422.5,487.5,510.5,562.9,595.29,612.29"
20,8,5,20,"5, 9,10,11,13,16,17,18","20, 1, 2, 3, 4, 6, 7, 8,12,14,15,19",1200,1800,58.2,124.318,1141.8,1675.682,3000,2817.482,1408.741,8,12,"0,12,79.1,138.7,176.9,226.1,252.9,279,291","0,79,176,229,296,368,385,445,469,492,540,589.2,621.59"
20,9,10,1,"10,12,14,15,19,20","1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,16,17,18",900,2100,48.758,131.36,851.242,1968.64,3000,2819.882,1409.941,6,14,"0,65,88,136,185.2,217.59,243.79","0,97,150,217,259,293,310,370,448,468.5,506.7,555.9,582.7,608.8,656.8"
20,10,10,5,"10, 1, 2, 3, 4, 8,12,14,15,19,20","5, 6, 7, 9,11,13,16,17,18",1650,1350,111.758,53.16,1538.242,1296.84,3000,2835.082,1417.541,11,9,"0,85,182,235,302,356,380,403,451,500.2,532.59,558.79","0,34,51,93,113.5,151.7,200.9,227.7,253.8,265.8"
20,11,10,15,"10,19,20","15, 1, 2, 3, 4, 5, 6, 7, 8, 9,11,12,13,14,16,17,18",450,2550,13.718,186.7,436.282,2363.3,3000,2799.582,1399.791,3,17,"0,10,42.39,68.59","0,79,176,229,296,338,372,389,449,527,547.5,615.5,687.1,756.1,783.6,810.4,836.5,933.5"
20,12,10,20,"10, 1, 4, 5, 9,11,13,16,17,18","20, 2, 3, 6, 7, 8,12,14,15,19",1500,1500,80.04,80.518,1419.96,1419.482,3000,2839.442,1419.721,10,10,"0,85,106,148,160,180.5,218.7,267.9,294.7,320.8,400.2","0,58,111,149,166,226,250,273,321,370.2,402.59"
20,13,15,1,"15, 2, 3, 6, 7, 8,12,14,19,20","1, 4, 5, 9,10,11,13,16,17,18",1500,1500,78.358,78,1421.642,1422,3000,2843.642,1421.821,10,10,"0,75,128,166,183,243,267,290,342.4,374.79,391.79","0,21,63,75,142.1,201.7,239.9,289.1,315.9,342,390"
20,14,15,5,"15, 1, 2, 3, 4, 8,12,14,19,20","5, 6, 7, 9,10,11,13,16,17,18",1500,1500,99.758,74.4,1400.242,1425.6,3000,2825.842,1412.921,10,10,"0,79,176,229,296,350,374,397,449.4,481.79,498.79","0,34,51,93,160.1,219.7,257.9,307.1,333.9,360,372"
20,15,15,10,"15,19,20","10, 1, 2, 3, 4, 5, 6, 7, 8, 9,11,12,13,14,16,17,18",450,2550,19.718,184.38,430.282,2365.62,3000,2795.902,1397.951,3,17,"0,49.2,81.59,98.59","0,85,182,235,302,344,378,395,455,533,553.5,621.5,693.1,762.1,789.6,816.4,842.5,921.9"
20,16,15,20,"15, 2, 3, 8,12,14,19","20, 1, 4, 5, 6, 7, 9,10,11,13,16,17,18",1050,1950,63.68,118.154,986.32,1831.846,3000,2818.166,1409.083,7,13,"0,75,128,170,194,217,269.4,318.4","0,79,100,142,176,193,235,302.1,361.7,399.9,449.1,475.9,502,590.77"
20,17,20,1,"20, 2, 3, 8, 9,11,13,14,15,19","1, 4, 5, 6, 7,10,12,16,17,18",1500,1500,97.658,65.86,1402.342,1434.14,3000,2836.482,1418.241,10,10,"0,58,111,153,231,251.5,289.7,358.7,406.7,455.9,488.29","0,21,63,97,114,141,206,228.4,255.2,281.3,329.3"
20,18,20,5,"20, 1, 2, 3, 4, 8,12,14,15,19","5, 6, 7, 9,10,11,13,16,17,18",1500,1500,105.318,74.4,1394.682,1425.6,3000,2820.282,1410.141,10,10,"0,79,176,229,296,350,374,397,445,494.2,526.59","0,34,51,93,160.1,219.7,257.9,307.1,333.9,360,372"
20,19,20,10,"20, 2, 3, 6, 7, 8,12,14,15,19","10, 1, 4, 5, 9,11,13,16,17,18",1500,1500,80.518,80.04,1419.482,1419.96,3000,2839.442,1419.721,10,10,"0,58,111,149,166,226,250,273,321,370.2,402.59","0,85,106,148,160,180.5,218.7,267.9,294.7,320.8,400.2"
20,20,20,15,"20, 1, 4, 5, 9,10,11,13,16,17,18","15, 2, 3, 6, 7, 8,12,14,19",1650,1350,101.954,78.28,1548.046,1271.72,3000,2819.766,1409.883,11,9,"0,79,100,142,154,221.1,280.7,318.9,368.1,394.9,421,509.77","0,75,128,166,183,243,267,290,342.4,391.4"
