Run_No,Pair_Index,Starting_City_Agent1,Starting_City_Agent2,Agent1_Path,Agent2_Path,Agent1_Benefit,Agent2_Benefit,Agent1_Cost,Agent2_Cost,Agent1_Payoff,Agent2_Payoff,Total_Benefit,Total_Payoff,Average_Payoff,Agent1_City_Count,Agent2_City_Count,Agent1_Timestamps,Agent2_Timestamps
2,1,1,5,"1, 2, 3, 4, 8, 9,11,13,16,17,18","5, 6, 7,10,12,14,15,19,20",1650,1350,111.56,74.718,1538.44,1275.282,3000,2813.722,1406.861,11,9,"0,97,150,217,271,349,369.5,407.7,456.9,483.7,509.8,557.8","0,34,51,78,143,166,214,263.2,295.59,373.59"
2,2,1,10,"1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,16,17,18","10,12,14,15,19,20",2100,900,131.36,48.758,1968.64,851.242,3000,2819.882,1409.941,14,6,"0,97,150,217,259,293,310,370,448,468.5,506.7,555.9,582.7,608.8,656.8","0,65,88,136,185.2,217.59,243.79"
2,3,1,15,"1, 4, 5, 6, 7, 9,10,11,13,16,17,18","15, 2, 3, 8,12,14,19,20",1800,1200,94.2,63.758,1705.8,1136.242,3000,2842.042,1421.021,12,8,"0,21,63,97,114,156,223.1,282.7,320.9,370.1,396.9,423,471","0,75,128,170,194,217,269.4,301.79,318.79"
2,4,1,20,"1, 4, 5, 9,11,13,18","20, 2, 3, 6, 7, 8,10,12,14,15,16,17,19",1050,1950,41.02,125.918,1008.98,1824.082,3000,2833.062,1416.531,7,13,"0,21,63,75,95.5,133.7,157.1,205.1","0,58,111,149,166,226,298.5,363.5,386.5,434.5,509.3,536.1,597.2,629.59"
2,5,5,1,"5, 6, 7,10,12,16,17,18","1, 2, 3, 4, 8, 9,11,13,14,15,19,20",1200,1800,46.06,137.058,1153.94,1662.942,3000,2816.882,1408.441,8,12,"0,34,51,78,143,165.4,192.2,218.3,230.3","0,97,150,217,271,349,369.5,407.7,476.7,524.7,573.9,606.29,685.29"
2,6,5,10,"5, 6, 7, 9,11,13,14,15,19,20","10, 1, 2, 3, 4, 8,12,16,17,18",1500,1500,85.658,106.94,1414.342,1393.06,3000,2807.402,1403.701,10,10,"0,34,51,93,113.5,151.7,220.7,268.7,317.9,350.29,428.29","0,85,182,235,302,356,380,402.4,429.2,455.3,534.7"
2,7,5,15,"5, 6, 7, 9,10,11,13,16,17,18","15, 1, 2, 3, 4, 8,12,14,19,20",1500,1500,74.4,99.758,1425.6,1400.242,3000,2825.842,1412.921,10,10,"0,34,51,93,160.1,219.7,257.9,307.1,333.9,360,372","0,79,176,229,296,350,374,397,449.4,481.79,498.79"
2,8,5,20,"5, 6, 7, 9,10,11,13,16,17,18","20, 1, 2, 3, 4, 8,12,14,15,19",1500,1500,74.4,105.318,1425.6,1394.682,3000,2820.282,1410.141,10,10,"0,34,51,93,160.1,219.7,257.9,307.1,333.9,360,372","0,79,176,229,296,350,374,397,445,494.2,526.59"
2,9,10,1,"10,12,14,15,19,20","1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,16,17,18",900,2100,48.758,131.36,851.242,1968.64,3000,2819.882,1409.941,6,14,"0,65,88,136,185.2,217.59,243.79","0,97,150,217,259,293,310,370,448,468.5,506.7,555.9,582.7,608.8,656.8"
2,10,10,5,"10, 1, 2, 3, 4, 8,12,14,15,19,20","5, 6, 7, 9,11,13,16,17,18",1650,1350,111.758,53.16,1538.242,1296.84,3000,2835.082,1417.541,11,9,"0,85,182,235,302,356,380,403,451,500.2,532.59,558.79","0,34,51,93,113.5,151.7,200.9,227.7,253.8,265.8"
2,11,10,15,"10, 1, 4, 5, 6, 7, 9,11,13,16,17,18","15, 2, 3, 8,12,14,19,20",1800,1200,96.24,63.758,1703.76,1136.242,3000,2840.002,1420.001,12,8,"0,85,106,148,182,199,241,261.5,299.7,348.9,375.7,401.8,481.2","0,75,128,170,194,217,269.4,301.79,318.79"
2,12,10,20,"10,11,13,16,17,18,19","20, 1, 2, 3, 4, 5, 6, 7, 8, 9,12,14,15",1050,1950,59.38,134.006,990.62,1815.994,3000,2806.614,1403.307,7,13,"0,59.6,97.8,147,173.8,199.9,286.9,296.9","0,79,176,229,296,338,372,389,449,527,582,605,653,670.03"
2,13,15,1,"15, 2, 3, 6, 7, 8,12,14,19,20","1, 4, 5, 9,10,11,13,16,17,18",1500,1500,78.358,78,1421.642,1422,3000,2843.642,1421.821,10,10,"0,75,128,166,183,243,267,290,342.4,374.79,391.79","0,21,63,75,142.1,201.7,239.9,289.1,315.9,342,390"
2,14,15,5,"15, 1, 2, 3, 4, 8,12,14,19,20","5, 6, 7, 9,10,11,13,16,17,18",1500,1500,99.758,74.4,1400.242,1425.6,3000,2825.842,1412.921,10,10,"0,79,176,229,296,350,374,397,449.4,481.79,498.79","0,34,51,93,160.1,219.7,257.9,307.1,333.9,360,372"
2,15,15,10,"15, 1, 2, 3, 4, 5, 6, 7, 8, 9,12,14,20","10,11,13,16,17,18,19",1950,1050,132.718,59.38,1817.282,990.62,3000,2807.902,1403.951,13,7,"0,79,176,229,296,338,372,389,449,527,582,605,646.59,663.59","0,59.6,97.8,147,173.8,199.9,286.9,296.9"
2,16,15,20,"15, 2, 3, 8,10,12,14,19","20, 1, 4, 5, 6, 7, 9,11,13,16,17,18",1200,1800,86.38,96.914,1113.62,1703.086,3000,2816.706,1408.353,8,12,"0,75,128,170,242.5,307.5,330.5,382.9,431.9","0,79,100,142,176,193,235,255.5,293.7,342.9,369.7,395.8,484.57"
2,17,20,1,"20, 2, 3, 8, 9,11,13,14,15,19","1, 4, 5, 6, 7,10,12,16,17,18",1500,1500,97.658,65.86,1402.342,1434.14,3000,2836.482,1418.241,10,10,"0,58,111,153,231,251.5,289.7,358.7,406.7,455.9,488.29","0,21,63,97,114,141,206,228.4,255.2,281.3,329.3"
2,18,20,5,"20, 1, 2, 3, 4, 6, 7, 8,12,14,15,19","5, 9,10,11,13,16,17,18",1800,1200,124.318,58.2,1675.682,1141.8,3000,2817.482,1408.741,12,8,"0,79,176,229,296,368,385,445,469,492,540,589.2,621.59","0,12,79.1,138.7,176.9,226.1,252.9,279,291"
2,19,20,10,"20, 1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,14,15","10,12,16,17,18,19",2100,900,143.946,47.46,1956.054,852.54,3000,2808.594,1404.297,14,6,"0,79,176,229,296,338,372,389,449,527,547.5,585.7,654.7,702.7,719.73","0,65,87.4,114.2,140.3,227.3,237.3"
