Run_No,Pair_Index,Starting_City_Agent1,Starting_City_Agent2,Agent1_Path,Agent2_Path,Agent1_Benefit,Agent2_Benefit,Agent1_Cost,Agent2_Cost,Agent1_Payoff,Agent2_Payoff,Total_Benefit,Total_Payoff,Average_Payoff,Agent1_City_Count,Agent2_City_Count,Agent1_Timestamps,Agent2_Timestamps
12,1,1,5,"1, 2, 3, 4, 8, 9,11,13,14,15,19,20","5, 6, 7,10,12,16,17,18",1800,1200,137.058,46.06,1662.942,1153.94,3000,2816.882,1408.441,12,8,"0,97,150,217,271,349,369.5,407.7,476.7,524.7,573.9,606.29,685.29","0,34,51,78,143,165.4,192.2,218.3,230.3"
12,2,1,10,"1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,16,17,18","10,12,14,15,19,20",2100,900,131.36,48.758,1968.64,851.242,3000,2819.882,1409.941,14,6,"0,97,150,217,259,293,310,370,448,468.5,506.7,555.9,582.7,608.8,656.8","0,65,88,136,185.2,217.59,243.79"
12,3,1,15,"1, 4, 5, 9,10,11,13,18","15, 2, 3, 6, 7, 8,12,14,16,17,19,20",1200,1800,62.26,90.958,1137.74,1709.042,3000,2846.782,1423.391,8,12,"0,21,63,75,142.1,201.7,239.9,263.3,311.3","0,75,128,166,183,243,267,290,317.5,344.3,405.4,437.79,454.79"
12,4,1,20,"1, 4, 5, 6, 7,10,12,16,17,18","20, 2, 3, 8, 9,11,13,14,15,19",1500,1500,65.86,97.658,1434.14,1402.342,3000,2836.482,1418.241,10,10,"0,21,63,97,114,141,206,228.4,255.2,281.3,329.3","0,58,111,153,231,251.5,289.7,358.7,406.7,455.9,488.29"
12,5,5,1,"5, 6, 7, 9,11,13,16,17,18","1, 2, 3, 4, 8,10,12,14,15,19,20",1350,1650,53.16,128.018,1296.84,1521.982,3000,2818.822,1409.411,9,11,"0,34,51,93,113.5,151.7,200.9,227.7,253.8,265.8","0,97,150,217,271,343.5,408.5,431.5,479.5,528.7,561.09,640.09"
12,6,5,10,"5, 1, 2, 3, 4, 6, 7, 8, 9,11,13,16,17,18","10,12,14,15,19,20",2100,900,133.16,48.758,1966.84,851.242,3000,2818.082,1409.041,14,6,"0,49,146,199,266,338,355,415,493,513.5,551.7,600.9,627.7,653.8,665.8","0,65,88,136,185.2,217.59,243.79"
12,7,5,15,"5, 6, 7,10,12,16,17,18","15, 1, 2, 3, 4, 8, 9,11,13,14,19,20",1200,1800,46.06,131.498,1153.94,1668.502,3000,2822.442,1411.221,8,12,"0,34,51,78,143,165.4,192.2,218.3,230.3","0,79,176,229,296,350,428,448.5,486.7,555.7,608.1,640.49,657.49"
12,8,5,20,"5, 6, 7,10,12,16,17,18","20, 1, 2, 3, 4, 8, 9,11,13,14,15,19",1200,1800,46.06,137.058,1153.94,1662.942,3000,2816.882,1408.441,8,12,"0,34,51,78,143,165.4,192.2,218.3,230.3","0,79,176,229,296,350,428,448.5,486.7,555.7,603.7,652.9,685.29"
12,9,10,1,"10,12,14,15,19,20","1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,16,17,18",900,2100,48.758,131.36,851.242,1968.64,3000,2819.882,1409.941,6,14,"0,65,88,136,185.2,217.59,243.79","0,97,150,217,259,293,310,370,448,468.5,506.7,555.9,582.7,608.8,656.8"
12,10,10,5,"10, 1, 2, 3, 4, 6, 7, 8,12,14,15,16,17,19,20","5, 9,11,13,18",2250,750,153.458,21.22,2096.542,728.78,3000,2825.322,1412.661,15,5,"0,85,182,235,302,374,391,451,475,498,546,620.8,647.6,708.7,741.09,767.29","0,12,32.5,70.7,94.1,106.1"
