Dataset_No,Pair_Index,Starting_City_Agent1,Starting_City_Agent2,Agent1_Path,Agent2_Path,Agent1_Benefit,Agent2_Benefit,Agent1_Cost,Agent2_Cost,Agent1_Payoff,Agent2_Payoff,Total_Benefit,Total_Payoff,Average_Payoff,Agent1_City_Count,Agent2_City_Count,Agent1_Timestamps,Agent2_Timestamps
1,232,13,4,"13, 1, 2, 3, 8, 9,11,14,15,19,20","4, 5, 6, 7,10,12,16,17,18",1650,1350,130.218,59.46,1519.782,1290.54,3000,2810.322,1405.161,11,9,"0,71,168,221,263,341,361.5,415.5,463.5,512.7,545.09,651.09","0,42,76,93,120,185,207.4,234.2,260.3,297.3"
1,233,13,5,"13, 1, 2, 3, 4, 8, 9,11,16,17,18","5, 6, 7,10,12,14,15,19,20",1650,1350,113.48,74.718,1536.52,1275.282,3000,2811.802,1405.901,11,9,"0,71,168,221,288,342,420,440.5,491.1,517.9,544,567.4","0,34,51,78,143,166,214,263.2,295.59,373.59"
1,234,13,6,"13, 1, 2, 3, 4, 5, 9,10,11,18","6, 7, 8,12,14,15,16,17,19,20",1500,1500,106.36,84.818,1393.64,1415.182,3000,2808.822,1404.411,10,10,"0,71,168,221,288,330,342,409.1,468.7,508.4,531.8","0,17,77,101,124,172,246.8,273.6,334.7,367.09,424.09"
1,235,13,7,"13, 1, 2, 3, 4, 5, 6, 9,10,11,16,17,18","7, 8,12,14,15,19,20",1950,1050,129.52,55.318,1820.48,994.682,3000,2815.162,1407.581,13,7,"0,71,168,221,288,330,364,394,461.1,520.7,571.3,598.1,624.2,647.6","0,60,84,107,155,204.2,236.59,276.59"
1,236,13,8,"13, 1, 4, 5, 6, 7, 9,10,11,14,15,20","8, 2, 3,12,16,17,18,19",1800,1200,115.746,85.26,1684.254,1114.74,3000,2798.994,1399.497,12,8,"0,71,92,134,168,185,227,294.1,353.7,407.7,455.7,472.73,578.73","0,95,148,182,204.4,231.2,257.3,344.3,426.3"
1,237,13,9,"13, 1, 2, 3, 4, 5, 6, 7, 8,10,11,14,15,19,20","9,12,16,17,18",2250,750,172.538,29.86,2077.462,720.14,3000,2797.602,1398.801,15,5,"0,71,168,221,288,330,364,381,441,513.5,573.1,627.1,675.1,724.3,756.69,862.69","0,55,77.4,104.2,130.3,149.3"
1,238,13,10,"13, 1, 2, 3, 4, 5, 6, 7, 8, 9,11,16,17,18","10,12,14,15,19,20",2100,900,133.28,48.758,1966.72,851.242,3000,2817.962,1408.981,14,6,"0,71,168,221,288,330,364,381,441,519,539.5,590.1,616.9,643,666.4","0,65,88,136,185.2,217.59,243.79"
1,239,13,11,"13, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,16,17,18","11,12,14,15,19,20",2100,900,145.78,59.998,1954.22,840.002,3000,2794.222,1397.111,14,6,"0,71,168,221,288,330,364,381,441,519,586.1,652.6,679.4,705.5,728.9","0,68,91,139,188.2,220.59,299.99"
1,240,13,12,"13, 1, 4, 5, 9,11,16,17,18","12, 2, 3, 6, 7, 8,10,14,15,19,20",1350,1650,58.68,110.218,1291.32,1539.782,3000,2831.102,1415.551,9,11,"0,71,92,134,146,166.5,217.1,243.9,270,293.4","0,80,133,171,188,248,320.5,362.5,410.5,459.7,492.09,551.09"
1,241,13,14,"13, 1, 4, 5, 9,10,11,16,17,18","14, 2, 3, 6, 7, 8,12,15,19,20",1500,1500,79.92,86.718,1420.08,1413.282,3000,2833.362,1416.681,10,10,"0,71,92,134,146,213.1,272.7,323.3,350.1,376.2,399.6","0,58,111,149,166,226,250,310,359.2,391.59,433.59"
