Dataset_No,Pair_Index,Starting_City_Agent1,Starting_City_Agent2,Agent1_Path,Agent2_Path,Agent1_Benefit,Agent2_Benefit,Agent1_Cost,Agent2_Cost,Agent1_Payoff,Agent2_Payoff,Total_Benefit,Total_Payoff,Average_Payoff,Agent1_City_Count,Agent2_City_Count,Agent1_Timestamps,Agent2_Timestamps,,,,
1,1,1,2,"1, 4, 5, 6, 7, 9,11,13,16,17,18","2, 3, 8,10,12,14,15,19,20",1650,1350,72.96,88.618,1577.04,1261.382,3000,2838.422,1419.211,11,9,"0,21,63,97,114,156,176.5,214.7,263.9,290.7,316.8,364.8","0,53,95,167.5,232.5,255.5,303.5,352.7,385.09,443.09",,,,
1,2,1,3,"1, 2, 6, 7, 8,12,16,17,18","3, 4, 5, 9,10,11,13,14,15,19,20",1350,1650,70.06,102.498,1279.94,1547.502,3000,2827.442,1413.721,9,11,"0,97,126,143,203,227,249.4,276.2,302.3,350.3","0,67,109,121,188.1,247.7,285.9,354.9,402.9,452.1,484.49,512.49",,,,
1,3,1,4,"1, 2, 3, 9,10,11,13,14,15,19,20","4, 5, 6, 7, 8,12,16,17,18",1650,1350,129.898,57.86,1520.102,1292.14,3000,2812.242,1406.121,11,9,"0,97,150,207,274.1,333.7,371.9,440.9,488.9,538.1,570.49,649.49","0,42,76,93,153,177,199.4,226.2,252.3,289.3",,,,
1,4,1,5,"1, 2, 3, 4, 8, 9,11,13,14,15,19,20","5, 6, 7,10,12,16,17,18",1800,1200,137.058,46.06,1662.942,1153.94,3000,2816.882,1408.441,12,8,"0,97,150,217,271,349,369.5,407.7,476.7,524.7,573.9,606.29,685.29","0,34,51,78,143,165.4,192.2,218.3,230.3",,,,
1,5,1,6,"1, 2, 3, 4, 5, 9,11,13,14,15,19,20","6, 7, 8,10,12,16,17,18",1800,1200,121.458,67.16,1678.542,1132.84,3000,2811.382,1405.691,12,8,"0,97,150,217,259,271,291.5,329.7,398.7,446.7,495.9,528.29,607.29","0,17,77,149.5,214.5,236.9,263.7,289.8,335.8",,,,
1,6,1,7,"1, 2, 3, 4, 5, 6, 9,10,11,13,16,17,18","7, 8,12,14,15,19,20",1950,1050,127.6,55.318,1822.4,994.682,3000,2817.082,1408.541,13,7,"0,97,150,217,259,293,323,390.1,449.7,487.9,537.1,563.9,590,638","0,60,84,107,155,204.2,236.59,276.59",,,,
1,7,1,8,"1, 2, 3, 4, 5, 6, 7, 9,10,11,13,16,17,18","8,12,14,15,19,20",2100,900,133.4,46.718,1966.6,853.282,3000,2819.882,1409.941,14,6,"0,97,150,217,259,293,310,352,419.1,478.7,516.9,566.1,592.9,619,667","0,24,47,95,144.2,176.59,233.59",,,,
1,8,1,9,"1, 2, 3, 4, 5, 6, 7, 8,12,14,15,19,20","9,10,11,13,16,17,18",1950,1050,125.118,57.2,1824.882,992.8,3000,2817.682,1408.841,13,7,"0,97,150,217,259,293,310,370,394,417,465,514.2,546.59,625.59","0,67.1,126.7,164.9,214.1,240.9,267,286",,,,
1,9,1,10,"1, 4, 5, 9,11,13,14,15,20","10, 2, 3, 6, 7, 8,12,16,17,18,19",1350,1650,69.346,79.26,1280.654,1570.74,3000,2851.394,1425.697,9,11,"0,21,63,75,95.5,133.7,202.7,250.7,267.73,346.73","0,32,85,123,140,200,224,246.4,273.2,299.3,386.3,396.3",,,,
1,10,1,11,"1, 2, 3, 6, 7, 8,12,14,15,19,20","11, 4, 5, 9,10,13,16,17,18",1650,1350,104.118,85.78,1545.882,1264.22,3000,2810.102,1405.051,11,9,"0,97,150,188,205,265,289,312,360,409.2,441.59,520.59","0,74,116,128,195.1,287.1,336.3,363.1,389.2,428.9",,,,
1,11,1,12,"1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,13,14,15,19,20","12,16,17,18",2400,600,178.098,24.66,2221.902,575.34,3000,2797.242,1398.621,16,4,"0,97,150,217,259,293,310,370,448,515.1,574.7,612.9,681.9,729.9,779.1,811.49,890.49","0,22.4,49.2,75.3,123.3",,,,
1,12,1,13,"1, 4, 5, 9,12,14,15,20","13, 2, 3, 6, 7, 8,10,11,16,17,18,19",1200,1800,59.406,133.32,1140.594,1666.68,3000,2807.274,1403.637,8,12,"0,21,63,75,130,153,201,218.03,297.03","0,78,131,169,186,246,318.5,378.1,428.7,455.5,481.6,568.6,666.6",,,,
1,13,1,14,"1, 4, 5, 9,10,11,13,16,17,18","14, 2, 3, 6, 7, 8,12,15,19,20",1500,1500,78,86.718,1422,1413.282,3000,2835.282,1417.641,10,10,"0,21,63,75,142.1,201.7,239.9,289.1,315.9,342,390","0,58,111,149,166,226,250,310,359.2,391.59,433.59",,,,
1,14,1,15,"1, 4, 5, 9,10,11,13,16,17,18","15, 2, 3, 6, 7, 8,12,14,19,20",1500,1500,78,78.358,1422,1421.642,3000,2843.642,1421.821,10,10,"0,21,63,75,142.1,201.7,239.9,289.1,315.9,342,390","0,75,128,166,183,243,267,290,342.4,374.79,391.79",,,,
